author_id,author_name,country,birth_year
1,J.K. Rowling,UK,1965
2,George Orwell,UK,1903
3,Yuval Noah Harari,Israel,1976
4,Agatha Christie,UK,1890
5,Stephen Hawking,UK,1942
6,Dan Brown,USA,1964
7,Isaac Asimov,Russia,1920
8,Jane Austen,UK,1775
